[  186.025619] [DEBUG] trs_ioctl dispatch. cmd_nr=12, handler=ioctl_trs_hw_info_query [asdrv_trs]
[  186.025656] [DEBUG] trs_ioctl dispatch. cmd_nr=5, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.025806] [DEBUG] trs_ioctl dispatch. cmd_nr=5, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.026428] [DEBUG] trs_ioctl dispatch. cmd_nr=5, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.026785] [DEBUG] trs_ioctl dispatch. cmd_nr=5, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.027131] [DEBUG] trs_ioctl dispatch. cmd_nr=5, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.032271] [DEBUG] trs_ioctl dispatch. cmd_nr=5, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.032302] [DEBUG] trs_ioctl dispatch. cmd_nr=5, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.032325] [DEBUG] trs_ioctl dispatch. cmd_nr=5, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.032348] [DEBUG] trs_ioctl dispatch. cmd_nr=5, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.034990] [DEBUG] trs_ioctl dispatch. cmd_nr=11, handler=ioctl_trs_ssid_query [asdrv_trs]
[  186.052033] [DEBUG] trs_ioctl dispatch. cmd_nr=0, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.052257] [DEBUG] trs_ioctl dispatch. cmd_nr=15, handler=ioctl_trs_sqcq_alloc [asdrv_trs]
[  186.052865] [DEBUG] trs_ioctl dispatch. cmd_nr=15, handler=ioctl_trs_sqcq_alloc [asdrv_trs]
[  186.052970] [DEBUG] trs_ioctl dispatch. cmd_nr=10, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.053000] [DEBUG] trs_ioctl dispatch. cmd_nr=18, handler=ioctl_trs_sqcq_query [asdrv_trs]
[  186.053096] [DEBUG] trs_ioctl dispatch. cmd_nr=0, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.053125] [DEBUG] trs_ioctl dispatch. cmd_nr=15, handler=ioctl_trs_sqcq_alloc [asdrv_trs]
[  186.057432] [DEBUG] trs_ioctl dispatch. cmd_nr=20, handler=ioctl_trs_sqcq_recv [asdrv_trs]
[  186.057673] [DEBUG] trs_ioctl dispatch. cmd_nr=18, handler=ioctl_trs_sqcq_query [asdrv_trs]
[  186.057709] [DEBUG] trs_ioctl dispatch. cmd_nr=17, handler=ioctl_trs_sqcq_config [asdrv_trs]
[  186.057736] [DEBUG] trs_ioctl dispatch. cmd_nr=17, handler=ioctl_trs_sqcq_config [asdrv_trs]
[  186.057762] [DEBUG] trs_ioctl dispatch. cmd_nr=18, handler=ioctl_trs_sqcq_query [asdrv_trs]
[  186.059284] [DEBUG] trs_ioctl dispatch. cmd_nr=20, handler=ioctl_trs_sqcq_recv [asdrv_trs]
[  186.059379] [DEBUG] trs_ioctl dispatch. cmd_nr=20, handler=ioctl_trs_sqcq_recv [asdrv_trs]
[  186.060915] [DEBUG] trs_ioctl dispatch. cmd_nr=18, handler=ioctl_trs_sqcq_query [asdrv_trs]
[  186.061031] [DEBUG] trs_ioctl dispatch. cmd_nr=20, handler=ioctl_trs_sqcq_recv [asdrv_trs]
[  186.061257] [DEBUG] trs_ioctl dispatch. cmd_nr=18, handler=ioctl_trs_sqcq_query [asdrv_trs]
[  186.062531] [DEBUG] trs_ioctl dispatch. cmd_nr=13, handler=ioctl_trs_msg_ctrl [asdrv_trs]
[  186.063299] [DEBUG] trs_ioctl dispatch. cmd_nr=20, handler=ioctl_trs_sqcq_recv [asdrv_trs]
[  186.063373] [DEBUG] trs_ioctl dispatch. cmd_nr=20, handler=ioctl_trs_sqcq_recv [asdrv_trs]
[  186.063749] [DEBUG] trs_ioctl dispatch. cmd_nr=18, handler=ioctl_trs_sqcq_query [asdrv_trs]
[  186.071127] [DEBUG] trs_ioctl dispatch. cmd_nr=0, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.071225] [DEBUG] trs_ioctl dispatch. cmd_nr=15, handler=ioctl_trs_sqcq_alloc [asdrv_trs]
[  186.071557] [DEBUG] trs_ioctl dispatch. cmd_nr=15, handler=ioctl_trs_sqcq_alloc [asdrv_trs]
[  186.071638] [DEBUG] trs_ioctl dispatch. cmd_nr=10, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  186.071663] [DEBUG] trs_ioctl dispatch. cmd_nr=18, handler=ioctl_trs_sqcq_query [asdrv_trs]
[  246.097592] [DEBUG] trs_ioctl dispatch. cmd_nr=10, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  246.097635] [DEBUG] trs_ioctl dispatch. cmd_nr=16, handler=ioctl_trs_sqcq_free [asdrv_trs]
[  246.097695] [DEBUG] trs_ioctl dispatch. cmd_nr=16, handler=ioctl_trs_sqcq_free [asdrv_trs]
[  246.098358] [DEBUG] trs_ioctl dispatch. cmd_nr=1, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  246.098677] [DEBUG] trs_ioctl dispatch. cmd_nr=20, handler=ioctl_trs_sqcq_recv [asdrv_trs]
[  246.098777] [DEBUG] trs_ioctl dispatch. cmd_nr=20, handler=ioctl_trs_sqcq_recv [asdrv_trs]
[  246.098950] [DEBUG] trs_ioctl dispatch. cmd_nr=18, handler=ioctl_trs_sqcq_query [asdrv_trs]
[  246.098986] [DEBUG] trs_ioctl dispatch. cmd_nr=20, handler=ioctl_trs_sqcq_recv [asdrv_trs]
[  246.099036] [DEBUG] trs_ioctl dispatch. cmd_nr=10, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  246.099061] [DEBUG] trs_ioctl dispatch. cmd_nr=16, handler=ioctl_trs_sqcq_free [asdrv_trs]
[  246.099102] [DEBUG] trs_ioctl dispatch. cmd_nr=16, handler=ioctl_trs_sqcq_free [asdrv_trs]
[  246.099500] [DEBUG] trs_ioctl dispatch. cmd_nr=1, handler=ioctl_trs_res_id_comm [asdrv_trs]
[  246.109481] [DEBUG] trs_ioctl dispatch. cmd_nr=16, handler=ioctl_trs_sqcq_free [asdrv_trs]
[  246.109750] [DEBUG] trs_ioctl dispatch. cmd_nr=1, handler=ioctl_trs_res_id_comm [asdrv_trs]
