[ 2198.746304] sqcq_alloc uio_info: sq_que_addr=0xffff75149000, HEAD=0xffff7516a000, TAIL=0xffff7516b000, DB=0xffff7516c000, HEAD_REG=0xffff87043010, TAIL_REG=0xffff87044008, SHR_INFO=0xffff75169000, uio_flag=1, soft_que_flag=1
[ 2198.746382] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 2198.746625] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 2198.759136] sqcq_alloc uio_info: sq_que_addr=0xffff75125000, HEAD=0xffff75146000, TAIL=0xffff75147000, DB=0xffff75148000, HEAD_REG=0xffff87041010, TAIL_REG=0xffff87042008, SHR_INFO=0xffff75145000, uio_flag=1, soft_que_flag=1
[ 2198.759197] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 2674.969979] sqcq_alloc uio_info: sq_que_addr=0xffffa42c9000, HEAD=0xffffa42ea000, TAIL=0xffffa42eb000, DB=0xffffa42ec000, HEAD_REG=0xffffb61c7010, TAIL_REG=0xffffb61c8008, SHR_INFO=0xffffa42e9000, uio_flag=1, soft_que_flag=1
[ 2674.970051] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 2674.970282] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 2674.982476] sqcq_alloc uio_info: sq_que_addr=0xffffa42a5000, HEAD=0xffffa42c6000, TAIL=0xffffa42c7000, DB=0xffffa42c8000, HEAD_REG=0xffffb61c5010, TAIL_REG=0xffffb61c6008, SHR_INFO=0xffffa42c5000, uio_flag=1, soft_que_flag=1
[ 2674.982540] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 3173.992752] sqcq_alloc uio_info: sq_que_addr=0xffffa0019000, HEAD=0xffffa003a000, TAIL=0xffffa003b000, DB=0xffffa003c000, HEAD_REG=0xffffb0493010, TAIL_REG=0xffffb0494008, SHR_INFO=0xffffa0039000, uio_flag=1, soft_que_flag=1
[ 3173.992827] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 3173.993045] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 3174.005305] sqcq_alloc uio_info: sq_que_addr=0xffff94a2c000, HEAD=0xffff94a4d000, TAIL=0xffff94a4e000, DB=0xffff94a4f000, HEAD_REG=0xffffb0491010, TAIL_REG=0xffffb0492008, SHR_INFO=0xffff94a4c000, uio_flag=1, soft_que_flag=1
[ 3174.005368] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 3303.868911] sqcq_alloc uio_info: sq_que_addr=0xffff9c6e9000, HEAD=0xffff9c70a000, TAIL=0xffff9c70b000, DB=0xffff9c70c000, HEAD_REG=0xffffaedf5010, TAIL_REG=0xffffaedf6008, SHR_INFO=0xffff9c709000, uio_flag=1, soft_que_flag=1
[ 3303.868982] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 3303.869227] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 3303.882058] sqcq_alloc uio_info: sq_que_addr=0xffff9c6c5000, HEAD=0xffff9c6e6000, TAIL=0xffff9c6e7000, DB=0xffff9c6e8000, HEAD_REG=0xffffaedf3010, TAIL_REG=0xffffaedf4008, SHR_INFO=0xffff9c6e5000, uio_flag=1, soft_que_flag=1
[ 3303.882125] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 3373.754407] sqcq_alloc uio_info: sq_que_addr=0xffffa0219000, HEAD=0xffffa023a000, TAIL=0xffffa023b000, DB=0xffffa023c000, HEAD_REG=0xffffb12cc010, TAIL_REG=0xffffb12cd008, SHR_INFO=0xffffa0239000, uio_flag=1, soft_que_flag=1
[ 3373.754481] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 3373.754735] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
[ 3373.767222] sqcq_alloc uio_info: sq_que_addr=0xffffa01f5000, HEAD=0xffffa0216000, TAIL=0xffffa0217000, DB=0xffffa0218000, HEAD_REG=0xffffb12ca010, TAIL_REG=0xffffb12cb008, SHR_INFO=0xffffa0215000, uio_flag=1, soft_que_flag=1
[ 3373.767281] sqcq_alloc uio_info: sq_que_addr=0x0, HEAD=0x0, TAIL=0x0, DB=0x0, HEAD_REG=0x0, TAIL_REG=0x0, SHR_INFO=0x0, uio_flag=0, soft_que_flag=0
